baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,UmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,UmasM_1.1,UmasM_2.1,UmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_003010A,925.4517025,-0.274762136,0.519717122,-0.528676321,0.597030006,0.999887746,606,1241,605,1226,1076,1206,727.1406826,841.0386956,944.4564023,909.3953514,1264.574927,866.1041561,0.01,UP_pEhEx_DOWN_UmasM
EHI_003020A,33.81637182,1.32757809,1.144379969,1.160085047,0.246014182,0.999887746,5,40,72,14,7,54,5.999510583,27.10841887,112.3981173,10.3846125,8.226788558,38.78078311,0.01,DOWN_pEhEx_UP_UmasM
EHI_003040A,19.02670968,-0.048673726,0.753845329,-0.064567258,0.948518555,0.999887746,9,26,18,19,12,41,10.79911905,17.62047227,28.09952933,14.09340267,14.1030661,29.44466866,0.01,UP_pEhEx_DOWN_UmasM
EHI_003240.mRNA,39.66040654,1.541869191,1.908412381,0.807932922,0.419129198,0.999887746,120,49,0,74,5,0,143.988254,33.20781312,0,54.89009462,5.876277542,0,0.01,DOWN_pEhEx_UP_UmasM
EHI_003260A,1350.195105,-0.001865877,0.717502043,-0.002600518,0.997925089,0.999887746,1155,801,1358,1436,1115,2335,1385.886945,542.846088,2119.953379,1065.164539,1310.409892,1676.909788,0.01,UP_pEhEx_DOWN_UmasM
EHI_003890A,37.3354047,0.729328323,0.770271028,0.946846365,0.343717072,0.999887746,49,42,34,35,10,64,58.79520371,28.46383982,53.07688873,25.96153124,11.75255508,45.96240961,0.01,DOWN_pEhEx_UP_UmasM
EHI_003900A,39.8808037,0.634129241,0.646849339,0.9803353,0.326920635,0.999887746,24,69,45,38,25,50,28.7976508,46.76202256,70.24882331,28.18680535,29.38138771,35.90813251,0.01,DOWN_pEhEx_UP_UmasM
EHI_003930A,103.208859,0.113710338,1.207856299,0.094142273,0.92499614,0.999887746,165,150,14,137,162,8,197.9838492,101.6565708,21.85518948,101.6208509,190.3913923,5.745301201,0.01,DOWN_pEhEx_UP_UmasM
EHI_003940A,6937.075252,-0.177206888,1.127239509,-0.157204291,0.875083847,0.999887746,8350,13061,425,12824,9564,1860,10019.18267,8851.576473,663.4611091,9512.305046,11240.14368,1335.782529,0.01,UP_pEhEx_DOWN_UmasM
EHI_004170A,1041.025771,-0.211211615,0.676084036,-0.312404381,0.754733221,0.999887746,463,1096,1023,1137,1165,1585,555.5546799,742.7706772,1596.989917,843.3788863,1369.172667,1138.2878,0.01,UP_pEhEx_DOWN_UmasM
EHI_004190A,33.19878419,0.356722742,0.659881187,0.540586319,0.58879275,0.999887746,47,36,20,45,25,34,56.39539948,24.39757699,31.22169925,33.37911159,29.38138771,24.4175301,0.01,DOWN_pEhEx_UP_UmasM
EHI_004200A,71356.85365,0.273924912,0.771614457,0.355002307,0.722587863,0.999887746,74138,36708,77188,61524,57846,111658,88958.34311,24877.396,120497.0261,45635.92137,67983.83013,80188.60519,0.01,DOWN_pEhEx_UP_UmasM
EHI_004230A,410.2733947,-0.604196079,0.570253863,-1.059521238,0.289362462,0.999887746,235,621,175,640,543,519,281.9769974,420.858203,273.1898684,474.7251427,638.163741,372.7264154,0.01,UP_pEhEx_DOWN_UmasM
EHI_004350A,48.66494003,-0.030751544,1.30656533,-0.02353617,0.981222587,0.999887746,37,140,3,81,73,3,44.39637831,94.87946606,4.683254888,60.08240087,85.79365211,2.15448795,0.01,UP_pEhEx_DOWN_UmasM
EHI_004370A,514.3061661,0.014845741,0.822967784,0.018039274,0.985607522,0.999887746,248,689,504,329,256,1378,297.5757249,466.9425151,786.7868211,244.0383937,300.8654101,989.6281319,0.01,DOWN_pEhEx_UP_UmasM
EHI_004380A,625.6174868,0.337671555,0.658734112,0.512606754,0.608226428,0.999887746,377,714,743,662,431,919,452.3630979,483.8852769,1159.886127,491.0438195,506.5351241,659.9914755,0.01,DOWN_pEhEx_UP_UmasM
EHI_004400A,240.6385355,0.038077429,0.900001799,0.042308169,0.966253033,0.999887746,73,147,349,233,227,379,87.5928545,99.62343936,544.8186519,172.8296223,266.7830004,272.1836444,0.01,DOWN_pEhEx_UP_UmasM
EHI_004430A,49.48329975,0.047953182,0.98920105,0.04847668,0.96133635,0.999887746,92,32,12,79,61,22,110.3909947,21.6867351,18.73301955,58.5988848,71.69058601,15.7995783,0.01,DOWN_pEhEx_UP_UmasM
EHI_004440A,97.62902853,-0.165681572,0.755802532,-0.219212778,0.826484302,0.999887746,103,169,24,188,97,79,123.589918,114.5330697,37.4660391,139.4505107,113.9997843,56.73484936,0.01,UP_pEhEx_DOWN_UmasM
EHI_004470A,10.40826229,0.521086366,0.857207927,0.607887946,0.543261795,0.999887746,16,19,3,18,5,9,19.19843386,12.87649897,4.683254888,13.35164464,5.876277542,6.463463851,0.01,DOWN_pEhEx_UP_UmasM
EHI_004510A,6.689960298,0.403268859,0.877687797,0.45946732,0.645898615,0.999887746,9,9,4,12,2,8,10.79911905,6.099394247,6.24433985,8.901096425,2.350511017,5.745301201,0.01,DOWN_pEhEx_UP_UmasM
EHI_004530A,67.38772533,0.58283141,1.158190059,0.503226051,0.614805351,0.999887746,138,97,7,109,63,10,165.5864921,65.73791577,10.92759474,80.85162586,74.04109702,7.181626501,0.01,DOWN_pEhEx_UP_UmasM
EHI_004550A,2337.908312,-0.383449285,0.722964686,-0.530384529,0.59584535,0.999887746,2215,1421,1580,2558,3540,2621,2657.783188,963.0265805,2466.514241,1897.417055,4160.404499,1882.304306,0.01,UP_pEhEx_DOWN_UmasM
EHI_004560A,27.30645191,1.018458205,1.073541585,0.948690036,0.342778283,0.999887746,5,20,58,17,13,36,5.999510583,13.55420944,90.54292783,12.6098866,15.27832161,25.8538554,0.01,DOWN_pEhEx_UP_UmasM
EHI_004570A,233.6107665,0.871196045,0.940786473,0.926029519,0.35443064,0.999887746,121,138,428,171,87,370,145.1881561,93.52404512,668.144364,126.8406241,102.2472292,265.7201806,0.01,DOWN_pEhEx_UP_UmasM
EHI_004590A,48.71087083,-0.059071513,0.76265935,-0.07745465,0.938261867,0.999887746,32,117,16,48,31,108,38.39686773,79.29212521,24.9773594,35.6043857,36.43292076,77.56156621,0.01,UP_pEhEx_DOWN_UmasM
EHI_004600A,1170.610974,0.184045001,0.813503512,0.2262375,0.821016706,0.999887746,569,919,1557,905,864,2229,682.7443043,622.8159236,2430.609287,671.2910221,1015.420759,1600.784547,0.01,DOWN_pEhEx_UP_UmasM
EHI_004610A,71.97327902,-0.288865214,1.08658992,-0.26584566,0.790358077,0.999887746,70,146,7,138,105,17,83.99314816,98.94572889,10.92759474,102.3626089,123.4018284,12.20876505,0.01,UP_pEhEx_DOWN_UmasM
EHI_004620A,9.161626006,-0.070119829,1.041650353,-0.067316091,0.946330068,0.999887746,2,7,13,13,3,20,2.399804233,4.743973303,20.29410451,9.642854461,3.525766525,14.363253,0.01,UP_pEhEx_DOWN_UmasM
EHI_004640A,98.7533947,0.037067552,0.811388688,0.045684088,0.963562046,0.999887746,114,185,24,191,92,60,136.7888413,125.3764373,37.4660391,141.6757848,108.1235068,43.08975901,0.01,DOWN_pEhEx_UP_UmasM
EHI_004740A,16.21356457,-0.295504487,1.565435013,-0.188768288,0.850274428,0.999887746,3,9,22,4,0,70,3.59970635,6.099394247,34.34386918,2.967032142,0,50.27138551,0.01,UP_pEhEx_DOWN_UmasM
EHI_004750A,237.0606278,-0.140855614,1.180550375,-0.119313514,0.905026977,0.999887746,285,470,10,473,301,58,341.9721032,318.5239218,15.61084963,350.8515508,353.751908,41.65343371,0.01,UP_pEhEx_DOWN_UmasM
EHI_004760A,502.6702475,-0.308806865,0.579267849,-0.533098575,0.593965345,0.999887746,503,620,207,737,586,604,603.5507646,420.1804926,323.1445872,546.6756721,688.6997279,433.7702407,0.01,UP_pEhEx_DOWN_UmasM
EHI_004770A,439.1287277,0.544900107,0.787185938,0.692212704,0.488803762,0.999887746,325,288,627,416,252,649,389.9681879,195.1806159,978.8002715,308.5713427,296.1643881,466.0875599,0.01,DOWN_pEhEx_UP_UmasM
EHI_004780A,162.833716,0.104202397,0.861302613,0.12098233,0.903705031,0.999887746,238,249,33,303,151,96,285.5767037,168.7499075,51.51580376,224.7526847,177.4635818,68.94361441,0.01,DOWN_pEhEx_UP_UmasM
EHI_004790A,5126.364281,-0.025056405,0.542260039,-0.04620736,0.963144976,0.999887746,4625,5156,3973,6325,4836,7153,5549.547289,3494.275193,6202.190556,4691.619574,5683.535638,5137.017436,0.01,UP_pEhEx_DOWN_UmasM
EHI_004800A,79.59126523,-0.075028079,0.789810092,-0.094995087,0.924318729,0.999887746,99,126,18,165,63,68,118.7903095,85.39151945,28.09952933,122.3900758,74.04109702,48.83506021,0.01,UP_pEhEx_DOWN_UmasM
