"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"81","EHI_003240.mRNA",46.17453487,2.230940778,2.627773067,0.848985327,0.395889457,0.999772996,141,83,0,74,5,0,142.4815926,85.90302083,0,43.94892346,4.71367233,0,0.02,"DOWN_pEhEx_UP_U2AF84"
"82","EHI_003260A",1242.908109,0.377780999,0.393253704,0.960654649,0.336725841,0.999772996,1361,1172,690,1436,1115,2335,1375.301046,1212.992053,1626.744273,852.8466769,1051.14893,1338.415673,0.02,"DOWN_pEhEx_UP_U2AF84"
"83","EHI_003890A",30.28615117,0.749513814,0.656252332,1.142112231,0.253407372,0.999772996,38,26,21,35,10,64,38.39929446,26.90938002,49.50960832,20.78665299,9.427344659,36.68462659,0.02,"DOWN_pEhEx_UP_U2AF84"
"84","EHI_003900A",26.40512093,0.101977206,0.562360029,0.181337935,0.856102332,0.999772996,20,18,19,38,25,50,20.21015498,18.62957078,44.79440752,22.5683661,23.56836165,28.65986453,0.02,"DOWN_pEhEx_UP_U2AF84"
"85","EHI_003930A",87.38405309,0.267031731,1.172926245,0.227662849,0.819908356,0.999772996,102,165,5,137,162,8,103.0717904,170.7710655,11.78800198,81.36489884,152.7229835,4.585578324,0.02,"DOWN_pEhEx_UP_U2AF84"
"86","EHI_003940A",5729.656117,-0.085427371,1.052719019,-0.081149261,0.93532325,0.999772996,7301,8584,177,12824,9564,1860,7377.717075,8884.235311,417.2952701,7616.229655,9016.312432,1066.14696,0.02,"UP_pEhEx_DOWN_U2AF84"
"87","EHI_004170A",759.1221228,-0.519908077,0.418850029,-1.241275017,0.214504171,0.999772996,522,548,330,1137,1165,1585,527.4850449,567.1669327,778.0081307,675.26927,1098.285653,908.5177055,0.02,"UP_pEhEx_DOWN_U2AF84"
"88","EHI_004190A",26.70591767,0.411431773,0.51033823,0.806194302,0.420130824,0.999772996,35,35,8,45,25,34,35.36777121,36.22416541,18.86080317,26.7256967,23.56836165,19.48870788,0.02,"DOWN_pEhEx_UP_U2AF84"
"89","EHI_004200A",58403.82612,0.333064103,0.419136715,0.794643111,0.426821133,0.999772996,61668,48752,35025,61524,57846,111658,62315.99186,50457.15749,82574.95387,36539.37253,54533.41792,64002.06306,0.02,"DOWN_pEhEx_UP_U2AF84"
"90","EHI_004210A",4.087361582,0.82340608,1.001355713,0.82229129,0.410911133,0.999772996,8,7,0,11,1,3,8.084061991,7.244833082,0,6.532948082,0.942734466,1.719591872,0.02,"DOWN_pEhEx_UP_U2AF84"
"91","EHI_004230A",322.1735621,-0.671503469,0.604988027,-1.109945056,0.267022704,0.999772996,295,337,41,640,543,519,298.0997859,348.7869641,96.66161624,380.0987975,511.904815,297.4893938,0.02,"UP_pEhEx_DOWN_U2AF84"
"92","EHI_004350A",35.23152046,-0.337310756,1.096019273,-0.307759876,0.758265055,0.999772996,33,46,5,81,73,3,33.34675571,47.60890311,11.78800198,48.10625406,68.81961601,1.719591872,0.02,"UP_pEhEx_DOWN_U2AF84"
"93","EHI_004370A",404.2309635,-0.036580688,0.819231504,-0.044652443,0.964384341,0.999772996,249,168,328,329,256,1378,251.6164295,173.875994,773.2929299,195.3945381,241.3400233,789.8658663,0.02,"UP_pEhEx_DOWN_U2AF84"
"94","EHI_004380A",414.5666473,-0.195732536,0.384583619,-0.508946627,0.610789636,0.999772996,360,308,203,662,431,919,363.7827896,318.7726556,478.5928804,393.1646937,406.3185548,526.76831,0.02,"UP_pEhEx_DOWN_U2AF84"
"95","EHI_004400A",200.0601555,0.138782963,0.757703486,0.18316263,0.854670415,0.999772996,82,92,192,233,227,379,82.86163541,95.21780622,452.659276,138.3797185,214.0007238,217.2417731,0.02,"DOWN_pEhEx_UP_U2AF84"
"96","EHI_004430A",22.25646515,-2.984817866,1.434724757,-2.080411488,0.037487806,0.999772996,0,0,7,79,61,22,0,0,16.50320277,46.91844532,57.50680242,12.61034039,0.02,"UP_pEhEx_DOWN_U2AF84"
"97","EHI_004440A",100.9239605,0.533349014,0.846280394,0.630227307,0.528545876,0.999772996,163,170,7,188,97,79,164.7127631,175.9459463,16.50320277,111.6540218,91.4452432,45.28258595,0.02,"DOWN_pEhEx_UP_U2AF84"
"98","EHI_004470A",6.378948417,-0.127905533,0.743886962,-0.171942163,0.863482999,0.999772996,7,8,1,18,5,9,7.073554242,8.279809237,2.357600396,10.69027868,4.71367233,5.158775615,0.02,"UP_pEhEx_DOWN_U2AF84"
"99","EHI_004510A",6.517420739,0.883449697,0.720591082,1.226006981,0.220196048,0.999772996,8,10,3,12,2,8,8.084061991,10.34976155,7.072801188,7.126852453,1.885468932,4.585578324,0.02,"DOWN_pEhEx_UP_U2AF84"
"100","EHI_004530A",59.29681732,0.809106129,1.132953408,0.714156578,0.475130364,0.999772996,96,120,2,109,63,10,97.00874389,124.1971386,4.715200792,64.73557645,59.39227135,5.731972905,0.02,"DOWN_pEhEx_UP_U2AF84"
"101","EHI_004550A",1921.667203,-0.297420081,0.5740068,-0.518147312,0.604355492,0.999772996,2018,2058,425,2558,3540,2621,2039.204637,2129.980926,1001.980168,1519.207381,3337.280009,1502.350098,0.02,"UP_pEhEx_DOWN_U2AF84"
"102","EHI_004560A",23.78002738,1.188666781,1.482434401,0.801834321,0.422648803,0.999772996,3,0,41,17,13,36,3.031523247,0,96.66161624,10.09637431,12.25554806,20.63510246,0.02,"DOWN_pEhEx_UP_U2AF84"
"103","EHI_004570A",175.2379949,0.720257854,0.749922008,0.960443681,0.336831963,0.999772996,100,110,187,171,87,370,101.0507749,113.847377,440.8712741,101.5576475,82.01789854,212.0829975,0.02,"DOWN_pEhEx_UP_U2AF84"
"104","EHI_004590A",31.43340171,-0.782987893,0.574857987,-1.362054474,0.173180694,0.999772996,25,24,8,48,31,108,25.26269372,24.83942771,18.86080317,28.50740981,29.22476844,61.90530737,0.02,"UP_pEhEx_DOWN_U2AF84"
"105","EHI_004600A",824.780622,-0.18347125,0.638697209,-0.287258574,0.77391434,0.999772996,493,470,566,905,864,2229,498.1803202,486.4387927,1334.401824,537.4834559,814.5225786,1277.656761,0.02,"UP_pEhEx_DOWN_U2AF84"
"106","EHI_004610A",57.23373742,-0.304139273,0.989455863,-0.307380333,0.758553896,0.999772996,66,74,4,138,105,17,66.69351143,76.58823544,9.430401584,81.95880321,98.98711892,9.744353939,0.02,"UP_pEhEx_DOWN_U2AF84"
"107","EHI_004620A",8.520932854,0.255263415,0.838382208,0.304471413,0.760768769,0.999772996,4,6,8,13,3,20,4.042030996,6.209856928,18.86080317,7.720756824,2.828203398,11.46394581,0.02,"DOWN_pEhEx_UP_U2AF84"
"108","EHI_004640A",90.03170068,0.393398318,0.706462314,0.556856764,0.577625297,0.999772996,133,129,16,191,92,60,134.3975306,133.5119239,37.72160634,113.4357349,86.73157087,34.39183743,0.02,"DOWN_pEhEx_UP_U2AF84"
