baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_012420A,148.7582095,-2.234610929,0.847732973,-2.635984444,0.008389358,0.462399939,31,30,109,113,78,717,40.1439172,34.41298157,81.53676114,86.22200721,94.56594666,555.6676429,53.76,UP_pEhEx_DOWN_CmasM
EHI_012570A,191.6895541,-1.514848089,0.573986601,-2.639169773,0.008310935,0.462399939,63,75,174,195,184,620,81.58279948,86.03245393,130.1596004,148.7901894,223.0786434,480.4936382,53.76,UP_pEhEx_DOWN_CmasM
EHI_016370A,2217.391758,0.961785025,0.367819148,2.614831311,0.008927153,0.462399939,2797,2492,3089,2381,1260,1508,3622.017304,2858.571669,2310.706928,1816.766364,1527.603754,1168.684527,53.76,DOWN_pEhEx_UP_CmasM
EHI_035510A,163.9678789,-1.655219511,0.633769803,-2.611704601,0.009009206,0.462399939,52,71,118,168,119,612,67.3381837,81.44405639,88.26915426,128.1884709,144.2736879,474.2937203,53.76,UP_pEhEx_DOWN_CmasM
EHI_048990A,78869.99428,0.96311855,0.364172212,2.64467886,0.008176848,0.462399939,105326,66472,133865,61717,45200,75547,136393.4911,76249.99037,100136.8672,47091.71344,54799.75371,58548.14982,53.76,DOWN_pEhEx_UP_CmasM
EHI_091470A,23.5795845,-1.871272217,0.714712325,-2.618217362,0.008839048,0.462399939,10,9,10,27,20,85,12.94965071,10.32389447,7.480436802,20.60171854,24.24767863,65.87412782,53.76,UP_pEhEx_DOWN_CmasM
EHI_099720A,182.8501192,-2.073624795,0.791533657,-2.619755681,0.008799278,0.462399939,37,68,113,105,143,817,47.91370763,78.00275823,84.52893586,80.11779431,173.3709022,633.1666168,53.76,UP_pEhEx_DOWN_CmasM
EHI_108690A,2217.391758,0.961785025,0.367819148,2.614831311,0.008927153,0.462399939,2797,2492,3089,2381,1260,1508,3622.017304,2858.571669,2310.706928,1816.766364,1527.603754,1168.684527,53.76,DOWN_pEhEx_UP_CmasM
EHI_119540A,5115.12036,-2.050938324,0.784283805,-2.615046122,0.008921541,0.462399939,719,1458,4495,3831,4262,21464,931.0798861,1672.470904,3362.456342,2923.154952,5167.180316,16634.37976,53.76,UP_pEhEx_DOWN_CmasM
EHI_126980A,58.90253621,-2.799837114,1.067871184,-2.621886568,0.008744453,0.462399939,21,0,23,61,127,140,27.19426649,0,17.20500464,46.54462336,153.9727593,108.4985635,53.76,UP_pEhEx_DOWN_CmasM
EHI_137110A,169.8857959,-0.951964324,0.363451269,-2.619235106,0.008812719,0.462399939,93,115,128,264,158,359,120.4317516,131.9164294,95.74959106,201.4390257,191.5566612,278.2213163,53.76,UP_pEhEx_DOWN_CmasM
EHI_156380A,16.13785868,-1.789969859,0.687725765,-2.60273782,0.009248265,0.462399939,2,7,14,25,25,34,2.589930142,8.0296957,10.47261152,19.07566531,30.30959829,26.34965113,53.76,UP_pEhEx_DOWN_CmasM
EHI_159690A,82.90784187,-1.300556132,0.492916116,-2.638493834,0.008327521,0.462399939,35,34,79,118,72,228,45.32377749,39.00137911,59.09545073,90.03714027,87.29164307,176.6976605,53.76,UP_pEhEx_DOWN_CmasM
