baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_139430A,9.81744984,-0.17607161,0.983358004,-0.179051382,0.857897356,0.999901938,6,11,14,10,7.12293567,11.2397718,9.656662041,11.25042985,0.01,UP_pEhEx_DOWN_CmasM
EHI_139440A,62.15687835,-0.829934644,0.731736412,-1.134198913,0.25671112,0.999901938,32,50,47,113,37.98899024,51.0898718,32.41879399,127.1298574,0.01,UP_pEhEx_DOWN_CmasM
EHI_139450A,20.06516297,0.238225055,0.836786947,0.284690214,0.775881488,0.999901938,9,32,29,15,10.6844035,32.69751795,20.00308566,16.87564478,0.01,DOWN_pEhEx_UP_CmasM
EHI_139460A,819.2321172,0.374096549,0.428974481,0.872071803,0.383169208,0.999901938,979,673,1025,640,1162.22567,687.6696745,707.0056137,720.0275107,0.01,DOWN_pEhEx_UP_CmasM
EHI_139470A,30.0179496,0.086017222,0.627299858,0.137122974,0.890933593,0.999901938,28,28,42,26,33.24036646,28.61032821,28.96998612,29.25111762,0.01,DOWN_pEhEx_UP_CmasM
EHI_139570.mRNA,2688.096079,-0.717658035,0.514144637,-1.39582908,0.162765971,0.999901938,1233,2546,3213,3974,1463.76328,2601.496272,2216.203938,4470.920824,0.01,UP_pEhEx_DOWN_CmasM
EHI_139850A,173.2760704,-0.214113963,0.446447589,-0.479594846,0.631515512,0.999901938,115,180,232,189,136.5229337,183.9235385,160.0246852,212.6331242,0.01,UP_pEhEx_DOWN_CmasM
EHI_139960A,11.44802378,0.305065536,0.905599462,0.336865854,0.736218027,0.999901938,11,12,15,9,13.05871539,12.26156923,10.34642362,10.12538687,0.01,DOWN_pEhEx_UP_CmasM
EHI_139970A,9.140080807,0.532113503,1.261348149,0.42186093,0.673126529,0.999901938,15,4,18,2,17.80733917,4.087189744,12.41570834,2.250085971,0.01,DOWN_pEhEx_UP_CmasM
EHI_140000A,32.72890296,0.570040713,0.630376064,0.904286735,0.365843379,0.999901938,36,35,45,19,42.73761402,35.76291026,31.03927085,21.37581672,0.01,DOWN_pEhEx_UP_CmasM
EHI_140010A,16.45544193,-1.085846384,0.809409936,-1.34152836,0.179748968,0.999901938,10,9,29,22,11.87155945,9.196176925,20.00308566,24.75094568,0.01,UP_pEhEx_DOWN_CmasM
EHI_140020A,63.3804789,0.213079599,0.640157818,0.332854795,0.739243894,0.999901938,41,85,52,73,48.67339374,86.85278206,35.86760187,82.12813794,0.01,DOWN_pEhEx_UP_CmasM
EHI_140120A,39615.86923,-0.689028094,0.485337703,-1.41968796,0.155698545,0.999901938,25015,30305,43799,60078,29696.70596,30965.5713,30210.86719,67590.33248,0.01,UP_pEhEx_DOWN_CmasM
EHI_140130A,29.62518519,-0.137871284,0.64161293,-0.214882334,0.829859058,0.999901938,27,24,49,25,32.05321051,24.52313847,33.79831714,28.12607464,0.01,UP_pEhEx_DOWN_CmasM
EHI_140140A,552.0824584,-0.219494652,0.436184866,-0.503214735,0.614813306,0.999901938,317,630,855,532,376.3284346,643.7323847,589.7461461,598.5228682,0.01,UP_pEhEx_DOWN_CmasM
EHI_140150A,15.1858498,0.024167271,1.198655009,0.020161991,0.983914149,0.999901938,4,25,5,24,4.74862378,25.5449359,3.448807872,27.00103165,0.01,DOWN_pEhEx_UP_CmasM
EHI_140170A,14747.65457,0.01633321,0.375852932,0.043456384,0.965337732,0.999901938,13150,13751,18051,15002,15611.10068,14050.73654,12450.88618,16877.89487,0.01,DOWN_pEhEx_UP_CmasM
EHI_140180A,53.9871076,0.182922148,0.524179134,0.348968772,0.727112754,0.999901938,46,59,78,42,54.60917347,60.28604873,53.8014028,47.25180539,0.01,DOWN_pEhEx_UP_CmasM
EHI_140190A,34.92652234,0.550771384,0.968106738,0.56891597,0.569413167,0.999901938,29,48,75,4,34.4275224,49.04627693,51.73211808,4.500171942,0.01,DOWN_pEhEx_UP_CmasM
EHI_140210A,9.055169485,0.973725927,1.027928753,0.947269861,0.343501285,0.999901938,10,12,11,4,11.87155945,12.26156923,7.587377318,4.500171942,0.01,DOWN_pEhEx_UP_CmasM
EHI_140220A,15.37109795,0.50753596,0.85636819,0.59266092,0.5534081,0.999901938,16,17,25,7,18.99449512,17.37055641,17.24403936,7.875300898,0.01,DOWN_pEhEx_UP_CmasM
