"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EhMyb10_1","EhMyb10_2","pEhEx_1","pEhEx_2","EhMyb10_1.1","EhMyb10_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"3665","EHI_141910A",46.13915086,-0.514178461,0.631137923,-0.814684781,0.415252767,0.999463877,49,23,81,43,52.00441167,24.08562966,57.87264194,50.59392018,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3666","EHI_141920A",10.37476731,0.459037694,1.016912012,0.451403551,0.651698724,0.999463877,7,16,16,5,7.429201667,16.75522063,11.43163298,5.883013974,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3667","EHI_141930A",299.2262364,0.05779737,0.396920066,0.145614633,0.884225615,0.999463877,286,293,401,255,303.5359538,306.8299778,286.5053015,300.0337127,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3668","EHI_141990A",42.32208108,0.276331867,0.567370422,0.487039606,0.626230264,0.999463877,46,42,56,31,48.8204681,43.98245416,40.01071542,36.47468664,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3669","EHI_142040A",32.44142216,-0.260706082,0.618738318,-0.421351118,0.673498708,0.999463877,25,31,48,31,26.5328631,32.46323997,34.29489893,36.47468664,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3670","EHI_142050A",19.09023249,0.395132355,0.747265136,0.528771297,0.596964111,0.999463877,22,19,20,16,23.34891952,19.8968245,14.28954122,18.82564472,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3671","EHI_142070A",12.4297576,0.035017006,0.887869726,0.039439351,0.968540107,0.999463877,12,12,21,8,12.73577429,12.56641547,15.00401828,9.412822359,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3672","EHI_142100A",177.5527011,-0.032077107,0.561265528,-0.057151394,0.954424597,0.999463877,232,100,213,176,246.2249695,104.7201289,152.183614,207.0820919,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3673","EHI_142140A",17.99907328,-0.263924758,0.757955467,-0.348206154,0.727685366,0.999463877,17,14,27,17,18.04234691,14.66081805,19.29088065,20.00224751,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3674","EHI_142170A",26.23591241,0.348038082,0.687758034,0.506047278,0.61282346,0.999463877,23,33,38,16,24.41023405,34.55764255,27.15012832,18.82564472,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3675","EHI_142200A",40.4088147,0.332051756,0.648218183,0.512253072,0.608473904,0.999463877,54,31,38,38,57.31098429,32.46323997,27.15012832,44.7109062,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3676","EHI_142250A",449.2327623,-0.250309754,0.484645336,-0.51648027,0.605519015,0.999463877,466,311,509,521,494.5725681,325.679601,363.668824,613.0100561,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3677","EHI_142720A",705.8895087,-0.202614405,0.407556683,-0.497144112,0.619087429,0.999463877,695,549,944,711,737.6135941,574.9135079,674.4663456,836.5645871,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3678","EHI_142730A",19336.29744,0.004080109,0.568534722,0.007176534,0.994274003,0.999463877,24869,11777,17135,22417,26393.83089,12332.88959,12242.56444,26375.90485,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3679","EHI_142740A",16.76991357,0.673363625,0.800379193,0.84130576,0.400176664,0.999463877,16,23,15,13,16.98103238,24.08562966,10.71715591,15.29583633,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3680","EHI_142910A",9.699697245,0.559086331,0.9784978,0.571372088,0.567747445,0.999463877,9,13,12,6,9.551830714,13.61361676,8.573724732,7.059616769,0.05,"DOWN_pEhEx_UP_EhMyb10"
