baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_114350A,73.38768099,-0.75980847,0.662379622,-1.147089139,0.251344782,0.999745166,27,100,100,84,33.5244125,74.7928572,78.69663129,106.536823,0.03,UP_pEhEx_DOWN_UmasM
EHI_114360A,16.75904294,0.259096269,0.985333422,0.262952888,0.792586891,0.999745166,9,34,29,6,11.17480417,25.42957145,22.82202307,7.609773069,0.03,DOWN_pEhEx_UP_UmasM
EHI_114380A,16.33652822,0.061112488,0.92629438,0.065975233,0.947397543,0.999745166,8,31,20,13,9.93315926,23.18578573,15.73932626,16.48784165,0.03,DOWN_pEhEx_UP_UmasM
EHI_114390A,83.0982339,0.314762591,0.591465562,0.532173995,0.594605493,0.999745166,89,99,96,57,110.5063968,74.04492863,75.54876603,72.29284416,0.03,DOWN_pEhEx_UP_UmasM
EHI_114400A,3508.781159,-0.206014733,0.496686093,-0.414778541,0.67830403,0.999745166,3179,3437,4748,2981,3947.189161,2570.630502,3736.516053,3780.78892,0.03,UP_pEhEx_DOWN_UmasM
EHI_114420A,39.31963754,0.521213912,0.697825371,0.746911668,0.455116882,0.999745166,40,58,51,19,49.6657963,43.37985717,40.13528196,24.09761472,0.03,DOWN_pEhEx_UP_UmasM
EHI_114430A,16.67585984,0.231633927,0.92273779,0.251028981,0.801791703,0.999745166,11,30,26,8,13.65809398,22.43785716,20.46112413,10.14636409,0.03,DOWN_pEhEx_UP_UmasM
EHI_114440A,22.62538487,-0.479155612,0.813033277,-0.589343173,0.555631089,0.999745166,11,32,35,20,13.65809398,23.9337143,27.54382095,25.36591023,0.03,UP_pEhEx_DOWN_UmasM
EHI_114640A,54.54635442,-0.314142272,0.71004504,-0.442425839,0.658181085,0.999745166,23,91,61,58,28.55783287,68.06150005,48.00494508,73.56113967,0.03,UP_pEhEx_DOWN_UmasM
EHI_114770A,700.623673,0.203272261,0.639910779,0.317657192,0.750744986,0.999745166,917,484,942,442,1138.58838,361.9974288,741.3222667,560.5866161,0.03,DOWN_pEhEx_UP_UmasM
EHI_114780A,30.84122343,-0.155001494,0.72330082,-0.214297413,0.830315136,0.999745166,23,40,47,22,28.55783287,29.91714288,36.9874167,27.90250125,0.03,UP_pEhEx_DOWN_UmasM
EHI_114790A,123.7773312,-0.496906203,0.606726518,-0.81899536,0.412789061,0.999745166,54,184,166,126,67.048825,137.6188572,130.6364079,159.8052345,0.03,UP_pEhEx_DOWN_UmasM
EHI_114920A,1918.763024,-0.739256658,0.972893045,-0.759853986,0.447341869,0.999745166,105,3669,1963,2567,130.3727153,2744.149931,1544.814872,3255.714578,0.03,UP_pEhEx_DOWN_UmasM
EHI_114930A,8.510296784,0.82117204,1.156985056,0.709751639,0.477858163,0.999745166,11,11,9,4,13.65809398,8.227214292,7.082696816,5.073182046,0.03,DOWN_pEhEx_UP_UmasM
EHI_115160A,18.71722832,-1.109266826,1.042628577,-1.063913699,0.287367797,0.999745166,8,18,9,35,9.93315926,13.4627143,7.082696816,44.3903429,0.03,UP_pEhEx_DOWN_UmasM
EHI_115270A,200.4129696,0.741994878,0.804277675,0.92256058,0.356236247,0.999745166,350,90,144,147,434.5757176,67.31357148,113.3231491,186.4394402,0.03,DOWN_pEhEx_UP_UmasM
EHI_115280A,683.7664278,-0.041105364,0.484584252,-0.084826042,0.932399689,0.999745166,604,800,879,548,749.9535241,598.3428576,691.743389,695.0259403,0.03,UP_pEhEx_DOWN_UmasM
