logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_004200A	0.567503812913732	13.003289337616	0.452679192132095	1	61196	77813	39905	61524	57846	111658	6775.82509506482	8319.35784711143	14319.6147362692	4725.70885873223	6983.67043646994	8139.03020447257	0	DOWN_pEhEx_UP_EhMyb10
EHI_004230A	-0.656681076973788	5.38374128386502	0.457380689874169	1	495	282	32	640	543	519	54.8080499061554	30.1499609690594	11.4829638281071	49.1589244780675	65.5556658542194	37.8312048946002	0	UP_pEhEx_DOWN_EhMyb10
EHI_004350A	-0.630945696277101	2.13752914170016	0.627880556661613	1	50	35	1	81	73	3	5.53616665718741	3.74201643233007	0.358842619628348	6.22167637925542	8.81319264706817	0.218677484939885	0	UP_pEhEx_DOWN_EhMyb10
EHI_004370A	-0.106183179736646	5.66059718325609	0.920364313555658	1	137	313	271	329	256	1378	15.1690966406935	33.4643183805518	97.2463499192823	25.2707596145066	30.9065385979377	100.445858082387	0	UP_pEhEx_DOWN_EhMyb10
EHI_004380A	-0.543652069558217	5.58402415774876	0.473742564975747	1	343	326	122	662	431	919	37.9781032683056	34.8542101982744	43.7787995946585	50.8487625070011	52.0340552176217	66.9882028865849	0	UP_pEhEx_DOWN_EhMyb10
EHI_004400A	-0.351081660419012	4.45393455434424	0.713064163664946	1	179	40	93	233	227	379	19.8194766327309	4.27659020837723	33.3723636254364	17.8969209427965	27.4054072723901	27.6262555974055	0	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	-4.23724883269412	1.54968366453513	0.0147968489208624	1	0	0	3	79	61	22	0	0	1.07652785888504	6.06805474026146	7.36444865028984	1.60363488955916	0	UP_pEhEx_DOWN_EhMyb10
EHI_004440A	0.388474166926568	3.64144702133589	0.689497661006757	1	185	166	9	188	97	79	20.4838166315934	17.7478493647655	3.22958357665513	14.4404340654323	11.7106806406248	5.75850710341698	0	DOWN_pEhEx_UP_EhMyb10
EHI_004470A	0.381149132553437	0.285223144486184	0.639443575128016	1	11	13	2	18	5	9	1.21795666458123	1.3898918177226	0.717685239256696	1.38259475094565	0.603643331990971	0.656032454819656	0	DOWN_pEhEx_UP_EhMyb10
EHI_004490A	1.18779847826505	8.98783607938887	0.498416567906218	1	279	554	5648	408	535	11430	30.8918099471058	59.2307743860246	2026.74311566091	31.3388143547681	64.5898365230339	833.161217620963	0	DOWN_pEhEx_UP_EhMyb10
EHI_004530A	1.2112852468525	3.23697610140033	0.262720878700253	1	138	170	14	109	63	10	15.2798199738373	18.1755083856032	5.02379667479687	8.37237932517088	7.60590598308623	0.728924949799618	0	DOWN_pEhEx_UP_EhMyb10
EHI_004550A	0.0990390029642803	8.13685330241935	0.907088840097711	1	3158	3464	425	2558	3540	2621	349.664286067957	370.352712045468	152.508113342048	196.482076273276	427.379479049607	191.05122934248	0	DOWN_pEhEx_UP_EhMyb10
EHI_004560A	1.12241400105012	1.6376377594371	0.259827756350075	1	27	8	24	17	13	36	2.9895299948812	0.855318041675445	8.61222287108035	1.30578393144867	1.56947266317652	2.62412981927862	0	DOWN_pEhEx_UP_EhMyb10
