CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_005940A	94.8734160117173	130.503885006202	99.3281041530754	42.5044033509023
EHI_005950A	138.106871409462	213.64748916338	224.75702399601	288.582528014021
EHI_005960A	16.8130104324562	15.7867602830084	26.1008156898592	58.163920374919
EHI_005970A	16954.7200918155	10326.6461264585	9201.26255333343	8694.3875591201
EHI_006000A	0	12.6294082264067	8.70027189661975	3.35561079086071
EHI_006010A	151.317093892106	149.447997345812	147.904622242536	138.698579355576
EHI_006020A	21.6167276988723	16.8392109685422	12.325385186878	3.35561079086071
EHI_006030A	44.4343847143486	62.0945904464995	87.0027189661974	68.2307527475011
EHI_006040A	45.6353140309526	9.47205616980501	23.9257477157043	13.4224431634428
EHI_006050A	273.811884185716	179.969067226295	191.405981725634	175.610298055044
EHI_006060A	21.6167276988723	19.9965630251439	23.9257477157043	32.4375709783202
EHI_006070A	1808.59955080565	1662.87208314355	1890.13406954064	2117.39040903311
EHI_006130A	36.0278794981205	35.7833233081523	36.9761555606339	36.9117186994678
EHI_006150A	66.0511124132209	46.3078301634912	37.7011782186856	29.0819601874595
EHI_006160A	40.8315967645365	51.5700835911606	118.90371592047	91.7200282835261
EHI_006170A	69.6539003630329	165.234757628821	181.255664512911	374.709871646113
EHI_006190A	174.134750907582	111.559772666592	102.953217443334	102.905397586395
EHI_006200A	96.0743453283213	38.9406753647539	43.5013594830987	0
EHI_006550A	66.0511124132209	75.7764493584401	75.4023564373711	65.9936788869273
EHI_006670A	1926.29062383284	2039.64942856468	1944.51076889451	1616.28586426458
EHI_006680A	0	0	58.0018126441316	67.1122158172142
EHI_006690A	3.60278794981205	7.36715479873723	8.70027189661975	8.94829544229523
EHI_006700A	21.6167276988723	23.1539150817456	29.7259289801175	27.9634232571726
EHI_006710A	14.4111517992482	13.6818589119406	20.3006344254461	20.1336647451643
EHI_006720A	31.2241622317044	36.8357739936862	33.3510422703757	38.0302556297547
EHI_006730A	85.2659814788852	79.9862521005756	58.7268353021833	43.6229402811892
EHI_006740A	13.2102224826442	10.5245068553389	13.0504078449296	6.71122158172142
EHI_006760A	13.2102224826442	15.7867602830084	10.8753398707747	5.59268465143452
EHI_006770A	63.6492537800129	63.1470411320334	0	0
EHI_006810A	318.246268900064	254.693065899201	506.7908379781	670.003621241855
EHI_006830A	112.887355760778	152.605349402414	141.379418320071	88.3644174926654
EHI_006840A	115.289214393986	365.20038788026	377.736804844907	662.173862729847
EHI_006850A	28.8223035984964	21.0490137106778	44.2263821411504	117.446377680125
EHI_006860A	18482.3021825358	14849.0267221977	13678.2774668023	15769.1336431848
EHI_006880A	28.8223035984964	53.6749849622284	76.8524017534744	71.5863635383618
EHI_006885A	160.924528424938	94.7205616980501	76.1273790954228	4.47414772114761
EHI_006900A	123.695719610214	235.748953559591	256.658020950282	343.390837598079
EHI_006920A	43.2334553977446	38.9406753647539	34.0760649284273	26.8448863268857
EHI_006930A	148.915235258898	131.556335691736	127.60398781709	108.49808223783
EHI_006940A	84.0650521622811	108.402420609991	147.904622242536	208.047869033364
EHI_006960A	6.00464658302008	6.31470411320334	18.1255664512911	24.6078124663119
