pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_176820A	1299.34616065256	464.223536982446	1.15691633514021	0.979423161671116	1.48489425549663	413	388	1125	1655	473.82165619796	449.42003305414	801.232584475142	1817.42116780637	97.94	UP_pEhEx_DOWN_U2AF84
EHI_048650A	0.382939321347726	9.28951473604937	-1.16375343025639	0.97925501079206	-4.60041552221797	7	9	1	0	8.03087552877898	10.4246914883692	0.712206741755682	0.549069839216425	97.93	DOWN_pEhEx_UP_U2AF84
EHI_000690A	227.354774574789	12.3434419331662	1.25981146342053	0.977694931745468	4.20312865473806	0	21	184	298	0.573633966341356	24.3242801395282	131.046040483045	327.245624172989	97.77	UP_pEhEx_DOWN_U2AF84
EHI_179390A	285.465927243298	69.8643758269815	1.09924244524961	0.974694730941832	2.03068964685836	38	82	300	329	43.596181441943	94.9805224495863	213.662022526704	361.287954204407	97.47	UP_pEhEx_DOWN_U2AF84
EHI_057550A	206.068502783639	674.619649222592	-1.34432916503146	0.974329332019177	-1.71095033116847	731	436	341	156	838.652858791062	505.018387658776	242.862498938687	171.309789835524	97.43	DOWN_pEhEx_UP_U2AF84
EHI_161940A	485.495151188684	206.581883823337	1.07293119841132	0.973584672069263	1.23274314425258	164	192	566	523	188.151940959965	222.393418418544	403.109015833716	574.32705182038	97.36	UP_pEhEx_DOWN_U2AF84
EHI_174910A	976.021574714644	406.100123941331	1.07021250130625	0.973256486067555	1.26507757098509	330	370	940	1181	378.598417785295	428.570650077402	669.474337250341	1296.90296022919	97.33	UP_pEhEx_DOWN_U2AF84
EHI_098800A	563.779300634118	272.701455390352	1.07012386076284	0.973244915975048	1.04780810995226	219	251	699	580	251.251677257514	290.733062620075	497.832512487221	636.921013491053	97.32	UP_pEhEx_DOWN_U2AF84
EHI_117270A	45.053680755357	386.989355239635	-1.34817068579802	0.973104367461215	-3.10257700330714	400	269	119	5	458.907173073085	311.582445596814	84.7526022689261	5.49069839216425	97.31	DOWN_pEhEx_UP_U2AF84
EHI_198930A	1177.69531909839	538.058294088504	1.06522002871653	0.972524439742036	1.13013195837795	373	553	1232	1361	427.930938890651	640.539377007576	877.438705843	1494.56810234711	97.25	UP_pEhEx_DOWN_U2AF84
EHI_136740A	320.156529894834	61.0547882959871	1.05932434841125	0.971447033825411	2.39060108551694	39	66	199	459	44.7434493746258	76.4477375813744	141.729141609381	504.046112400678	97.14	UP_pEhEx_DOWN_U2AF84
