logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_093840A	-1.74962347263588	1.36099889439831	0.000886826608276962	0.0433528882567061	9	7	35	27	1.18429377349561	0.911306386808854	3.29055666911108	3.86809197438169	95.66	UP_pEhEx_DOWN_EhMyb10
EHI_126860A	-1.63148821087777	3.05977824831354	0.000992714519657153	0.0475451175195848	39	21	120	92	5.13193968514766	2.73391916042656	11.2819085798094	13.1801652460413	95.25	UP_pEhEx_DOWN_EhMyb10
EHI_186950A	-1.32208018822313	4.70387351836476	0.000992844985493141	0.0475451175195848	125	100	376	268	16.4485246318835	13.0186626686979	35.3499802167362	38.3943944123812	95.25	UP_pEhEx_DOWN_EhMyb10
EHI_073540A	2.6487539968867	2.47810906520839	0.00100570188982114	0.0476743330195009	28	114	20	7	3.68446951754191	14.8412754423156	1.8803180966349	1.00283866002488	95.23	DOWN_pEhEx_UP_EhMyb10
EHI_046600A	-1.91230876469294	3.36055559872808	0.00102214830230742	0.0477713254902169	45	19	126	139	5.92146886747808	2.4735459070526	11.8460040087999	19.9135105347798	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_094810A	-2.25746874576226	1.35293913220598	0.00105216278892559	0.0477713254902169	7	5	26	37	0.921117379385478	0.650933133434895	2.44441352562537	5.3007186315601	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_118270A	-2.7031533609316	11.5905850226856	0.00105824452507735	0.0477713254902169	8972	3544	25137	58145	1180.60930397807	461.381404978654	2363.27779975558	8330.00769816383	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_134840A	-1.81241350981255	2.69550405969151	0.00103552819688799	0.0477713254902169	22	20	69	91	2.8949403352115	2.60373253373958	6.48709743339041	13.0369025803235	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_202460A	-1.95446521615728	6.17963112540771	0.00105864433219317	0.0477713254902169	292	160	764	1103	38.42375354008	20.8298602699167	71.8281512914533	158.018720286778	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_182950A	-1.93802320778824	2.02581173854278	0.00112355911149269	0.0502177420022401	12	12	42	58	1.57905836466082	1.56223952024375	3.9486680029333	8.30923461163474	94.98	UP_pEhEx_DOWN_EhMyb10
EHI_010020A	-2.2093159351585	6.18333031805224	0.00117428566729093	0.051989836194305	246	147	610	1264	32.3706964755468	19.1374341229859	57.3497019473645	181.08400946735	94.8	UP_pEhEx_DOWN_EhMyb10
EHI_008040A	-1.78097019644149	2.06956663899578	0.00124482345850533	0.0540954454051479	9	18	53	51	1.18429377349561	2.34335928036562	4.98284295608249	7.30639595160986	94.59	UP_pEhEx_DOWN_EhMyb10
EHI_140770A	-2.51408718580643	1.17679736581109	0.00124489838136714	0.0540954454051479	5	4	21	35	0.657940985275342	0.520746506747916	1.97433400146665	5.01419330012442	94.59	UP_pEhEx_DOWN_EhMyb10
EHI_030170A	-1.45927778509787	3.69136974306224	0.00126283314687064	0.0540974862733976	53	50	151	161	6.97417444391862	6.50933133434895	14.1964016295935	23.0652891805723	94.59	UP_pEhEx_DOWN_EhMyb10
EHI_095070A	-1.43126670677482	2.57671147625374	0.00126799989134322	0.0540974862733976	25	22	83	62	3.28970492637671	2.86410578711354	7.80332010103485	8.88228527450611	94.59	UP_pEhEx_DOWN_EhMyb10
EHI_027370A	-1.46690206628687	2.23553859341806	0.00131604704275286	0.0550710624275427	15	21	69	46	1.97382295582602	2.73391916042656	6.48709743339041	6.59008262302066	94.49	UP_pEhEx_DOWN_EhMyb10
EHI_035650A	-1.53831081078723	3.69455879629749	0.00131386080072294	0.0550710624275427	65	34	187	141	8.55323280857944	4.42634530735729	17.5809742035363	20.2000358662155	94.49	UP_pEhEx_DOWN_EhMyb10
EHI_050640A	2.74372572533901	1.61602850124417	0.00133725433643769	0.0550710624275427	18	58	4	8	2.36858754699123	7.55082434784479	0.376063619326981	1.14610132574272	94.49	DOWN_pEhEx_UP_EhMyb10
EHI_148190A	-1.81497533602557	7.24927267217644	0.00133775860147877	0.0550710624275427	626	400	1695	2191	82.3742113564728	52.0746506747916	159.356958689808	313.888500587788	94.49	UP_pEhEx_DOWN_EhMyb10
EHI_151350A	-1.8619908105338	2.73206023976623	0.00138961461968069	0.0567083600883606	11	31	99	75	1.44747016760575	4.03578542729635	9.30757457834277	10.744699928838	94.33	UP_pEhEx_DOWN_EhMyb10
EHI_141800A	-1.72736600842736	7.10463982023854	0.00140700313930871	0.0569229804549637	640	332	1890	1706	84.2164461152437	43.2219600600771	177.690060131998	244.406107714636	94.31	UP_pEhEx_DOWN_EhMyb10
EHI_058090A	-1.59763994961295	8.03474503483762	0.0014486850656396	0.0581083676328773	1023	965	3209	3393	134.614725587335	125.630094752935	301.69703860507	486.090224780633	94.19	UP_pEhEx_DOWN_EhMyb10
EHI_009490A	-1.88964776289751	3.47149062788722	0.00166186828956327	0.0657838826842606	53	17	174	124	6.97417444391862	2.21317265367864	16.3587674407237	17.7645705490122	93.42	UP_pEhEx_DOWN_EhMyb10
EHI_124510A	-1.47420913742426	2.69276763214003	0.00166807629222821	0.0657838826842606	30	20	88	70	3.94764591165205	2.60373253373958	8.27339962519357	10.0283866002488	93.42	UP_pEhEx_DOWN_EhMyb10
EHI_187800A	-1.55911265803734	2.00910067160774	0.00169296675332061	0.0662091081111134	13	16	49	47	1.71064656171589	2.08298602699167	4.60677933675551	6.7333452887385	93.38	UP_pEhEx_DOWN_EhMyb10
EHI_100350A	-2.39368362663682	1.90652566329753	0.00171353588241935	0.0664597016214379	3	14	41	56	0.394764591165205	1.82261277361771	3.85465209810155	8.02270928019906	93.35	UP_pEhEx_DOWN_EhMyb10
EHI_108640A	2.06775007106441	0.995765587708706	0.00183114947331099	0.0704392170348234	16	28	8	4	2.10541115288109	3.64522554723541	0.752127238653961	0.573050662871362	92.96	DOWN_pEhEx_UP_EhMyb10
