logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_110570A	-1.47901360816922	4.95884367044312	0.000210739736255107	0.0134816474517794	106	103	341	397	16.3809170922036	16.0703530785468	32.282520719581	58.4555243085254	98.65	UP_pEhEx_DOWN_U2AF84
EHI_161940A	-1.2372083753277	5.54824565616101	0.000234292164559321	0.0147885214269843	164	192	566	523	25.3440604068055	29.9563863211746	53.5833041855802	77.008159227604	98.52	UP_pEhEx_DOWN_U2AF84
EHI_112800A	-1.35902538933493	4.32513132856273	0.000244750767539595	0.0152453964938479	59	83	250	225	9.11768026830199	12.9498961700911	23.6675371844435	33.1297052126403	98.48	UP_pEhEx_DOWN_U2AF84
EHI_075530A	-1.42511606580398	2.85610517993373	0.000263063625381716	0.0161732883448967	25	23	92	78	3.86342384250084	3.58852544472404	8.70965368387522	11.4849644737153	98.38	UP_pEhEx_DOWN_U2AF84
EHI_126210A	-1.40445263798743	4.04681612572986	0.000300631890016089	0.0182460431709765	47	67	202	190	7.26323682390158	10.4535306433266	19.1233700450304	27.9761955128963	98.18	UP_pEhEx_DOWN_U2AF84
EHI_058090A	-1.27774540835006	8.14956913319478	0.000322262702363868	0.0188771596056708	1047	1086	3209	3393	161.800190523935	169.440810129144	303.796507299517	499.595954606616	98.11	UP_pEhEx_DOWN_U2AF84
EHI_147570A	-1.29075982753531	8.03249000765417	0.000322993225192087	0.0188771596056708	856	1097	3071	3069	132.283632367229	171.157061428795	290.732026773704	451.889179100414	98.11	UP_pEhEx_DOWN_U2AF84
EHI_182550A	-1.72315223359231	4.29237948769204	0.000317871864151291	0.0188771596056708	42	73	220	261	6.49055205540141	11.3896677158633	20.8274327223103	38.4304580466628	98.11	UP_pEhEx_DOWN_U2AF84
EHI_118270A	-2.45118849721816	11.6598655002037	0.000337922565179789	0.0195088466287941	4325	8539	25137	58145	668.372324752646	1332.27907706516	2379.72352882143	8561.45204261765	98.05	UP_pEhEx_DOWN_U2AF84
EHI_095830A	-1.63202761553918	4.7643312065827	0.000373715556671664	0.0213152945214898	52	116	384	304	8.03592159240175	18.098650069043	36.3533371153053	44.761912820634	97.87	UP_pEhEx_DOWN_U2AF84
EHI_163670A	-1.38971745990312	8.42877043139662	0.000422228176553107	0.0237955736643144	1184	1265	3643	4428	182.97175318084	197.368899459822	344.883351851711	651.992598584762	97.62	UP_pEhEx_DOWN_U2AF84
EHI_058320A	-1.9633645343302	2.85081981409599	0.00043959593984888	0.0244829079911129	13	23	76	101	2.00898039810044	3.58852544472404	7.19493130407084	14.8715565621185	97.55	UP_pEhEx_DOWN_U2AF84
EHI_136740A	-2.3996186412962	4.69700582757679	0.000451623403016628	0.0248602929055897	39	66	199	459	6.02694119430131	10.2975077979038	18.8393595988171	67.5845986337863	97.51	UP_pEhEx_DOWN_U2AF84
EHI_050000A	-3.46449004743694	2.21398239864555	0.000479443073883584	0.0259397670481846	0	9	54	73	0	1.40420560880506	5.11218803183981	10.7487488023233	97.41	UP_pEhEx_DOWN_U2AF84
