NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_015250A	74.7673251174634	172.107847979173	224.123431681792	35.7647824706308	79.4822693362812	25.2162726199273	101.007275543257	237.449572845319	122.679163549423	45.7815967491299	107.902169911117	11.6248460861548
EHI_015440A	174.789640781517	304.065797436591	210.890723339978	401.90240670822	623.368358484257	545.191189466535	135.971332462077	239.743771616771	256.578982301537	305.973671606685	491.015492292163	626.191709174206
EHI_016010A	671.807542360501	877.407010690527	4325.89805074114	539.11621236966	447.66051466134	75.6642272771231	1504.74941258032	1982.18773853483	1205.84641244921	1172.77190339021	1005.06627928445	18.5997537378477
EHI_016110A	23.9805632072342	2.87105412883582	11.9943609553217	41.2501803726504	76.6776433776657	35.9292302384414	10.3597205685392	0	25.4334851260999	18.3126386996519	36.3715179475676	77.4989739076988
EHI_017660A	36.2880812077553	159.359234534318	92.7555980005273	304.835278077326	720.5389657221	382.34240479867	25.899301421348	120.445435501249	117.442857788167	223.566797458251	547.997537076686	461.118894750808
EHI_017690A	1458.23990910118	831.353498492949	1985.59527534543	612.032439619925	711.524542583666	335.290178461389	2087.48369456065	1198.71885808385	1043.52093385028	850.011646308844	1020.82727039506	164.297824684321
EHI_017750A	314.552892800224	542.330426596075	340.760377174827	1133.31500936471	1614.31536156808	1675.78957086623	205.899446299717	359.042107732293	534.851231328278	724.875281861223	1066.89785979532	2479.96716504636
EHI_017890A	13.0207496530779	15.7922597496203	13.000715889738	32.3321953926431	48.6080304934826	43.3055390118573	9.06475549747181	11.4709938572618	12.71674256305	24.4168515995359	38.7962858107388	44.1744151273883
EHI_019860A	17.6251509384099	11.9956229818446	8.15454397404631	56.0998116672876	56.8072055998481	108.932907489575	9.06475549747181	5.73549692863088	11.9686988828706	31.2840911119054	32.7343661528109	181.347598944015
EHI_022130A	399.000988516198	643.610206239175	2169.09504703774	526.605694859267	595.544453555195	122.114844937567	514.101133213758	837.382551580109	1317.30492079594	660.018019799955	771.076180488434	68.199097038775
EHI_022970A	489.991413525401	459.505223104868	400.647117841798	809.089490464072	971.404195256913	1069.77522349222	328.92112805112	310.863933531794	609.655599346219	528.77744245245	655.899706987803	1532.92970389428
EHI_023070A	169.379199016947	110.052032167985	85.3931053659001	196.766194777873	361.539965240861	444.561319351476	97.1223803300551	63.0904662149397	157.837216517855	109.875832197912	209.742420164307	782.739636467758
EHI_023400A	3494.19757855703	1689.21050197864	1047.33817049241	833.176684979585	326.851371914573	1087.38897613055	5682.30673184376	2767.95081775726	459.298819630157	1314.69485331251	531.024162034487	447.944069186499
