baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1.1	UmasM_2.1	UmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_000590A	9047.64825148926	-0.290131773745315	0.462431032439235	-0.627405501345629	0.530393462522548	0.999717028849961	12570	10945	2149	13989	9838	9040	15082.7696044138	7417.54111447212	3354.77158443689	10376.453157552	11562.1636908346	6492.19035722622	0.03	UP_pEhEx_DOWN_UmasM
EHI_000610A	3089.82213378876	-0.285974938796771	0.553092099243074	-0.517047593317889	0.605122935763704	0.999717028849961	967	1412	5426	1952	2279	5326	1160.30534665617	956.92718626173	8470.44700658659	1447.91168514844	2678.4073034572	3824.93427462244	0.03	UP_pEhEx_DOWN_UmasM
EHI_000620A	50.1689233285161	0.445386658626955	0.72880059517532	0.611122797614913	0.541118288266058	0.999717028849961	5	65	91	25	28	80	5.99951058250349	44.0511806706887	142.058731588533	18.5439508856102	32.9071542329099	57.4530120108515	0.03	DOWN_pEhEx_UP_UmasM
EHI_000640A	103.774862269012	2.29917610868815	2.01539601010168	1.14080612304683	0.25395061201064	0.999717028849961	9	0	293	2	0	213	10.7991190485063	0	457.397894015826	1.48351607084881	0	152.968644478892	0.03	DOWN_pEhEx_UP_UmasM
EHI_000650A	63.1286637433451	0.0105562601928831	0.434122473008285	0.0243163182033233	0.980600296935677	0.999717028849961	68	95	29	103	53	68	81.5933439220474	64.3824948263912	45.2714639128292	76.4010776487139	62.2885419408652	48.8350602092238	0.03	DOWN_pEhEx_UP_UmasM
EHI_000660A	20.1677696815241	0.297132108012811	0.623766356912267	0.47635160941295	0.633823903211908	0.999717028849961	23	24	15	33	9	26	27.597748679516	16.265051324562	23.4162744376703	24.4780151690054	10.5772995748639	18.6722289035267	0.03	DOWN_pEhEx_UP_UmasM
EHI_000670A	46.0167709403536	0.5980155340304	0.535290765334875	1.11717887316118	0.263917851923274	0.999717028849961	18	19	79	11	10	137	21.5982380970126	12.8764989652782	123.325712038397	8.15933838966847	11.7525550831821	98.3882830685832	0.03	DOWN_pEhEx_UP_UmasM
EHI_000690A	112.970662176753	-0.63699390018397	3.37809366954141	-0.188566085638012	0.850432915640865	0.999717028849961	0	282	0	184	298	0	0	191.114353063603	0	136.483478518091	350.226141478827	0	0.03	UP_pEhEx_DOWN_UmasM
EHI_000700A	47.2747664536913	-0.21530570955849	0.490219906176525	-0.439202298490424	0.660514959748544	0.999717028849961	60	69	11	79	52	39	71.9941269900418	46.7620225581157	17.1719345876249	58.5988847985281	61.1132864325469	28.0083433552901	0.03	UP_pEhEx_DOWN_UmasM
EHI_000710A	27.7585718956553	0.0862750192892168	0.594615902161701	0.145093696578863	0.88463689502719	0.999717028849961	28	79	3	46	26	14	33.5972592620195	53.5391272766832	4.68325488753405	34.1208696295227	30.5566432162735	10.054277101899	0.03	DOWN_pEhEx_UP_UmasM
EHI_000720A	163.650950465826	0.275379889182946	0.409421707605367	0.672606957734587	0.501197374090032	0.999717028849961	163	195	136	218	107	215	195.584044989614	132.153542012066	212.307554901544	161.703251722521	125.752339390049	154.404969779163	0.03	DOWN_pEhEx_UP_UmasM
EHI_000730A	1411.1000585836	-0.190758396993273	0.546371570835419	-0.349136754501333	0.726986644528168	0.999717028849961	252	1015	2457	916	835	2757	302.375333358176	687.8761289346	3835.58575289039	679.450360448756	981.338349445706	1979.97442642397	0.03	UP_pEhEx_DOWN_UmasM
EHI_000740A	75.9972566720683	0.155857541385674	0.490099529728678	0.318012019868612	0.750475819317326	0.999717028849961	114	93	25	124	79	45	136.788841281079	63.0270738826777	39.0271240627838	91.9779963926264	92.8451851571386	32.317319256104	0.03	DOWN_pEhEx_UP_UmasM
EHI_000770A	17.9658705292752	0.292788437956966	0.690881401910574	0.423789723022337	0.671719173706778	0.999717028849961	11	10	20	8	4	64	13.1989232815077	6.77710471856749	31.221699250227	5.93406428339525	4.70102203327284	45.9624096086812	0.03	DOWN_pEhEx_UP_UmasM
EHI_000780A	18.8286717597827	0.140429461114881	0.676208337601011	0.207671886467836	0.835485170439981	0.999717028849961	26	33	2	28	29	2	31.1974550290181	22.3644455712727	3.1221699250227	20.7692249918834	34.0824097412281	1.43632530027129	0.03	DOWN_pEhEx_UP_UmasM
EHI_000790A	101.78568110929	0.00329325163856244	0.413859707099092	0.00795741064440933	0.993650971906744	0.999717028849961	44	87	115	71	40	306	52.7956931260307	58.9608110515372	179.524770688805	52.6648205151329	47.0102203327284	219.757770941507	0.03	DOWN_pEhEx_UP_UmasM
EHI_000800A	349.538117627306	0.341054128996939	0.458867001364287	0.743252681022886	0.457328714047769	0.999717028849961	336	263	392	344	211	558	403.167111144234	178.237854098325	611.94530530445	255.164764185996	247.978912255142	400.734758775689	0.03	DOWN_pEhEx_UP_UmasM
EHI_000900A	39.6911137648565	-0.588420043802863	0.58117836807808	-1.01246033252877	0.311318003861015	0.999717028849961	9	39	38	27	35	112	10.7991190485063	26.4307084024132	59.3212285754314	20.027466956459	41.1339427911374	80.4342168151921	0.03	UP_pEhEx_DOWN_UmasM
