logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_004200A	-0.185268656744876	12.7871518715981	-0.265424959565558	0.798906596862205	0.999154291130592	-4.60768985297039	74138	36708	61524	57846	11743.4303008068	3697.74647569619	6305.1228986838	9116.4032028798	0.08	UP_pEhEx_DOWN_UmasM
EHI_004210A	0.570099308769846	-0.526521558178861	0.60994250683245	0.562617845650032	0.999154291130592	-4.59880737501729	5	9	11	1	0.791998050986455	0.906606687405082	1.12730563496395	0.15759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_004230A	-0.641939880623498	5.91160374861493	-1.44809183996098	0.194079266788778	0.999154291130592	-4.57613310542574	235	621	640	543	37.2239083963634	62.5558614309506	65.5886914888114	85.5756135111111	0.08	UP_pEhEx_DOWN_UmasM
EHI_004350A	-0.0666794021620602	3.24741892205244	-0.124550878444533	0.904645007180733	0.999154291130592	-4.61735670940762	37	140	81	73	5.86078557729976	14.1027706929679	8.30106876655269	11.504640490444	0.08	UP_pEhEx_DOWN_UmasM
EHI_004370A	0.494308910064078	5.45787215802922	1.11714353115769	0.303541803158752	0.999154291130592	-4.59066449100848	248	689	329	256	39.2831033289281	69.4057786246779	33.7166867184671	40.3450406240229	0.08	DOWN_pEhEx_UP_UmasM
EHI_004380A	-0.0531251909050424	6.06103665181266	-0.138052626449375	0.89437993645952	0.999154291130592	-4.61831326434329	377	714	662	431	59.7166530443787	71.9241305341365	67.8433027587393	67.9246582381011	0.08	UP_pEhEx_DOWN_UmasM
EHI_004400A	-1.15024533566539	4.2948187855767	-2.73561857689278	0.0313258310224375	0.999154291130592	-4.52390053101193	73	147	233	227	11.5631715444022	14.8079092276163	23.8783829951454	35.7747039908328	0.08	UP_pEhEx_DOWN_UmasM
EHI_004430A	-0.400659840175511	2.97179422814847	-0.560522603156987	0.593916869134659	0.999154291130592	-4.60961210479762	92	32	79	61	14.5727641381508	3.22349044410696	8.09610410565016	9.61346671119296	0.08	UP_pEhEx_DOWN_UmasM
EHI_004440A	-0.0434052923878766	4.08560240651986	-0.112306928229662	0.913971057371436	0.999154291130592	-4.61878701960529	103	169	188	97	16.315159850321	17.0240589079399	19.2666781248384	15.2869880489462	0.08	UP_pEhEx_DOWN_UmasM
EHI_004470A	0.691892448153236	0.769177875228113	1.16535987644943	0.284875578137613	0.999154291130592	-4.59137356022109	16	19	18	5	2.53439376315665	1.91394745118851	1.84468194812282	0.787989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_004490A	0.359754994137434	6.08256742380131	0.62997318837836	0.550218032440107	0.999154291130592	-4.60879599343264	325	1149	408	535	51.4798733141196	115.743453758715	41.8127908241173	84.3148309916104	0.08	DOWN_pEhEx_UP_UmasM
EHI_004510A	0.519066300690912	-0.11508262750631	0.649941648030773	0.538024938355317	0.999154291130592	-4.59953483573102	9	9	12	2	1.42559649177562	0.906606687405082	1.22978796541521	0.315195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_004530A	0.459255585759565	3.64064360114941	0.915127058854662	0.392827957355428	0.999154291130592	-4.59889865260078	138	97	109	63	21.8591462072261	9.77120540869921	11.1705740191882	9.92866234106814	0.08	DOWN_pEhEx_UP_UmasM
EHI_004550A	-0.769347889843397	8.19386627316654	-1.23862834646695	0.258367304965722	0.999154291130592	-4.58669689199192	2215	1421	2558	3540	350.855136586999	143.143122533625	262.149801294343	557.896264879067	0.08	UP_pEhEx_DOWN_UmasM
EHI_004560A	-0.401525195479403	0.69479608019733	-0.664562524794057	0.529205014297102	0.999154291130592	-4.60210999208356	5	20	17	13	0.791998050986455	2.01468152756685	1.74219961767155	2.04877159418866	0.08	UP_pEhEx_DOWN_UmasM
EHI_004570A	0.0696847267797955	3.9974651815214	0.170427041703367	0.86985993557747	0.999154291130592	-4.61827130660702	121	138	171	87	19.1663528338722	13.9013025402113	17.5244785071668	13.7110098995703	0.08	DOWN_pEhEx_UP_UmasM
